,s,dataframe,fold,acc,noise_level
0,0.0,hepatitis,0,0.9375,0.0
1,0.0,hepatitis,0,0.9375,0.05
2,0.0,hepatitis,0,0.875,0.1
3,0.0,hepatitis,0,0.625,0.3
4,0.0,hepatitis,1,0.875,0.0
5,0.0,hepatitis,1,0.875,0.05
6,0.0,hepatitis,1,0.8125,0.1
7,0.0,hepatitis,1,0.8125,0.3
8,0.0,hepatitis,2,0.9375,0.0
9,0.0,hepatitis,2,0.875,0.05
10,0.0,hepatitis,2,0.875,0.1
11,0.0,hepatitis,2,0.9375,0.3
12,0.0,hepatitis,3,0.75,0.0
13,0.0,hepatitis,3,1.0,0.05
14,0.0,hepatitis,3,1.0,0.1
15,0.0,hepatitis,3,1.0,0.3
16,0.0,hepatitis,4,0.8125,0.0
17,0.0,hepatitis,4,0.1875,0.05
18,0.0,hepatitis,4,0.875,0.1
19,0.0,hepatitis,4,0.1875,0.3
20,0.0,hepatitis,5,0.8,0.0
21,0.0,hepatitis,5,0.8,0.05
22,0.0,hepatitis,5,0.8,0.1
23,0.0,hepatitis,5,0.6666666666666666,0.3
24,0.0,hepatitis,6,0.6666666666666666,0.0
25,0.0,hepatitis,6,0.9333333333333333,0.05
26,0.0,hepatitis,6,0.06666666666666667,0.1
27,0.0,hepatitis,6,0.6666666666666666,0.3
28,0.0,hepatitis,7,0.8,0.0
29,0.0,hepatitis,7,0.8,0.05
30,0.0,hepatitis,7,0.26666666666666666,0.1
31,0.0,hepatitis,7,0.8,0.3
32,0.0,hepatitis,8,0.6666666666666666,0.0
33,0.0,hepatitis,8,0.6,0.05
34,0.0,hepatitis,8,0.6,0.1
35,0.0,hepatitis,8,0.6666666666666666,0.3
36,0.0,hepatitis,9,0.4666666666666667,0.0
37,0.0,hepatitis,9,0.4666666666666667,0.05
38,0.0,hepatitis,9,0.4666666666666667,0.1
39,0.0,hepatitis,9,0.4666666666666667,0.3
40,0.25,hepatitis,0,0.875,0.0
41,0.25,hepatitis,0,0.875,0.05
42,0.25,hepatitis,0,0.8125,0.1
43,0.25,hepatitis,0,0.875,0.3
44,0.25,hepatitis,1,0.8125,0.0
45,0.25,hepatitis,1,0.875,0.05
46,0.25,hepatitis,1,0.875,0.1
47,0.25,hepatitis,1,0.6875,0.3
48,0.25,hepatitis,2,0.8125,0.0
49,0.25,hepatitis,2,0.75,0.05
50,0.25,hepatitis,2,0.8125,0.1
51,0.25,hepatitis,2,0.875,0.3
52,0.25,hepatitis,3,0.6875,0.0
53,0.25,hepatitis,3,0.9375,0.05
54,0.25,hepatitis,3,0.6875,0.1
55,0.25,hepatitis,3,0.9375,0.3
56,0.25,hepatitis,4,0.8125,0.0
57,0.25,hepatitis,4,0.75,0.05
58,0.25,hepatitis,4,0.75,0.1
59,0.25,hepatitis,4,0.75,0.3
60,0.25,hepatitis,5,0.8,0.0
61,0.25,hepatitis,5,0.8,0.05
62,0.25,hepatitis,5,0.6666666666666666,0.1
63,0.25,hepatitis,5,0.6666666666666666,0.3
64,0.25,hepatitis,6,0.6,0.0
65,0.25,hepatitis,6,0.4666666666666667,0.05
66,0.25,hepatitis,6,0.6,0.1
67,0.25,hepatitis,6,0.2,0.3
68,0.25,hepatitis,7,0.8666666666666667,0.0
69,0.25,hepatitis,7,0.8666666666666667,0.05
70,0.25,hepatitis,7,0.7333333333333333,0.1
71,0.25,hepatitis,7,0.4666666666666667,0.3
72,0.25,hepatitis,8,0.6,0.0
73,0.25,hepatitis,8,0.6,0.05
74,0.25,hepatitis,8,0.6,0.1
75,0.25,hepatitis,8,0.4666666666666667,0.3
76,0.25,hepatitis,9,0.4666666666666667,0.0
77,0.25,hepatitis,9,0.4666666666666667,0.05
78,0.25,hepatitis,9,0.4666666666666667,0.1
79,0.25,hepatitis,9,0.4666666666666667,0.3
80,0.5,hepatitis,0,0.875,0.0
81,0.5,hepatitis,0,0.9375,0.05
82,0.5,hepatitis,0,0.875,0.1
83,0.5,hepatitis,0,0.875,0.3
84,0.5,hepatitis,1,0.8125,0.0
85,0.5,hepatitis,1,0.875,0.05
86,0.5,hepatitis,1,0.875,0.1
87,0.5,hepatitis,1,0.875,0.3
88,0.5,hepatitis,2,0.8125,0.0
89,0.5,hepatitis,2,0.8125,0.05
90,0.5,hepatitis,2,0.875,0.1
91,0.5,hepatitis,2,0.75,0.3
92,0.5,hepatitis,3,0.75,0.0
93,0.5,hepatitis,3,0.75,0.05
94,0.5,hepatitis,3,0.75,0.1
95,0.5,hepatitis,3,0.625,0.3
96,0.5,hepatitis,4,0.75,0.0
97,0.5,hepatitis,4,0.8125,0.05
98,0.5,hepatitis,4,0.75,0.1
99,0.5,hepatitis,4,0.8125,0.3
100,0.5,hepatitis,5,0.8,0.0
101,0.5,hepatitis,5,0.7333333333333333,0.05
102,0.5,hepatitis,5,0.8666666666666667,0.1
103,0.5,hepatitis,5,0.8666666666666667,0.3
104,0.5,hepatitis,6,0.7333333333333333,0.0
105,0.5,hepatitis,6,0.6,0.05
106,0.5,hepatitis,6,0.4,0.1
107,0.5,hepatitis,6,0.6666666666666666,0.3
108,0.5,hepatitis,7,0.8666666666666667,0.0
109,0.5,hepatitis,7,0.8666666666666667,0.05
110,0.5,hepatitis,7,0.8666666666666667,0.1
111,0.5,hepatitis,7,0.6666666666666666,0.3
112,0.5,hepatitis,8,0.6666666666666666,0.0
113,0.5,hepatitis,8,0.6666666666666666,0.05
114,0.5,hepatitis,8,0.6666666666666666,0.1
115,0.5,hepatitis,8,0.4666666666666667,0.3
116,0.5,hepatitis,9,0.5333333333333333,0.0
117,0.5,hepatitis,9,0.5333333333333333,0.05
118,0.5,hepatitis,9,0.6666666666666666,0.1
119,0.5,hepatitis,9,0.6666666666666666,0.3
120,0.75,hepatitis,0,0.5625,0.0
121,0.75,hepatitis,0,0.875,0.05
122,0.75,hepatitis,0,1.0,0.1
123,0.75,hepatitis,0,1.0,0.3
124,0.75,hepatitis,1,0.8125,0.0
125,0.75,hepatitis,1,0.875,0.05
126,0.75,hepatitis,1,0.8125,0.1
127,0.75,hepatitis,1,0.8125,0.3
128,0.75,hepatitis,2,0.9375,0.0
129,0.75,hepatitis,2,0.875,0.05
130,0.75,hepatitis,2,0.9375,0.1
131,0.75,hepatitis,2,0.875,0.3
132,0.75,hepatitis,3,0.75,0.0
133,0.75,hepatitis,3,0.75,0.05
134,0.75,hepatitis,3,0.8125,0.1
135,0.75,hepatitis,3,0.875,0.3
136,0.75,hepatitis,4,0.75,0.0
137,0.75,hepatitis,4,0.75,0.05
138,0.75,hepatitis,4,0.75,0.1
